arm,tp,conc,isl,osl,image,revision,total_tput,output_tput,total_token_throughput,request_throughput,completed,num_prompts,duration,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2el_ms,success,server_log,stdout,picklog
json,2,8,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,4368.5,2192.35,4368.504453345262,2.359711526894263,80,80,33.90244912914932,128.5997955215862,1532.118646146264,3.435994839186526,4.31053913548499,3319.158033997519,True,json_isl1024_osl1024_tp2_conc8.server.log,json_isl1024_osl1024_tp2_conc8.stdout,
json,4,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,31605.57,15785.44,31605.5651002349,17.15807620117859,1280,1280,74.60043800901622,128.23781194438197,740.4884802782908,7.7726834748676525,12.189598879019359,7287.2639212890135,True,json_isl1024_osl1024_tp4_conc128.server.log,json_isl1024_osl1024_tp4_conc128.stdout,
json,4,16,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,8488.68,4221.87,8488.684575084051,4.609563788456141,160,160,34.71044275397435,145.63294447143562,1108.0652873939835,3.5505665010109655,5.5243871341881725,3392.597454521456,True,json_isl1024_osl1024_tp4_conc16.server.log,json_isl1024_osl1024_tp4_conc16.stdout,
json,4,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,44661.34,22341.47,44661.34248379053,24.234093634104745,2560,2560,105.63630060409196,230.76605097548963,1955.2963859401643,10.971621035706319,15.432089844801098,10355.797554125638,True,json_isl1024_osl1024_tp4_conc256.server.log,json_isl1024_osl1024_tp4_conc256.stdout,
json,4,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,14558.85,7290.96,14558.85180094299,7.893289490825999,320,320,40.5407657190226,112.95948160404805,1070.4736580117606,4.151363161644059,5.278113054875639,3946.6577299608616,True,json_isl1024_osl1024_tp4_conc32.server.log,json_isl1024_osl1024_tp4_conc32.stdout,
json,4,4,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,2649.19,1318.15,2649.188046991778,1.4363219144133146,40,40,27.848910191096365,86.46233095787466,827.4117052112706,2.850140708960967,3.3943583027125954,2697.830078244442,True,json_isl1024_osl1024_tp4_conc4.server.log,json_isl1024_osl1024_tp4_conc4.stdout,
json,4,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,20893.29,10444.29,20893.294128547164,11.330150994816238,640,640,56.4864493238274,154.11541034845868,1020.0091183837503,5.786262409818057,10.608986571223719,5504.021980185644,True,json_isl1024_osl1024_tp4_conc64.server.log,json_isl1024_osl1024_tp4_conc64.stdout,
json,4,8,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,4596.7,2306.87,4596.703358323562,2.482976500583276,80,80,32.21939473901875,104.4681568571832,847.0058074593544,3.283796149616901,3.821409616535173,3153.605334740132,True,json_isl1024_osl1024_tp4_conc8.server.log,json_isl1024_osl1024_tp4_conc8.stdout,
json,8,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,28587.28,14277.96,28587.281171132054,15.519505731449689,1280,1280,82.4768534610048,178.33727767974779,1099.8840396339074,8.54703571694201,15.346310815905207,8052.030263886627,True,json_isl1024_osl1024_tp8_conc128.server.log,json_isl1024_osl1024_tp8_conc128.stdout,
json,8,16,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,8797.28,4375.35,8797.28079408361,4.777139099303495,160,160,33.492849312955514,149.8701793141663,1523.3115271385739,3.4137589691903187,4.960344214658629,3270.2287175285164,True,json_isl1024_osl1024_tp8_conc16.server.log,json_isl1024_osl1024_tp8_conc16.stdout,
json,8,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,47977.51,24000.36,47977.5146786026,26.033511721571724,2560,2560,98.3347935299389,221.85510264780532,1698.6083262064492,10.19699361452939,15.796116400320022,9637.909709572705,True,json_isl1024_osl1024_tp8_conc256.server.log,json_isl1024_osl1024_tp8_conc256.stdout,
json,8,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,15510.02,7767.29,15510.019612075106,8.40897870796157,320,320,38.05456180986948,99.6203341979708,707.867913285736,3.895893484365522,5.910725031849456,3698.4043687691155,True,json_isl1024_osl1024_tp8_conc32.server.log,json_isl1024_osl1024_tp8_conc32.stdout,
json,8,4,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,2494.17,1241.02,2494.1680124279674,1.3522740216750302,40,40,29.579803618835285,60.17417959519662,482.9347968660295,3.0560194891514794,3.325091653270689,2862.8865932754707,True,json_isl1024_osl1024_tp8_conc4.server.log,json_isl1024_osl1024_tp8_conc4.stdout,
json,8,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,22356.87,11175.92,22356.87071847283,12.123828796617667,640,640,52.78860422200523,156.91363573605486,1412.570633678697,5.380979157498582,10.08597799468447,5132.190020172129,True,json_isl1024_osl1024_tp8_conc64.server.log,json_isl1024_osl1024_tp8_conc64.stdout,
